iter	Logloss
0	0.6890145874
1	0.6852128601
2	0.6818952179
3	0.6766147614
4	0.6742526245
5	0.6713627625
6	0.668044281
7	0.6653845215
8	0.6626057434
9	0.6600143433
10	0.6569235229
11	0.6536112976
12	0.650358963
13	0.6482809448
14	0.6449140167
15	0.6408545685
16	0.6383933258
17	0.6362757492
18	0.6333758926
19	0.6302173996
20	0.6280172729
21	0.624620018
22	0.6216095734
23	0.6191682434
24	0.6168243408
25	0.6141648865
26	0.6118191147
27	0.6088324356
28	0.606269455
29	0.6033545685
30	0.6008563995
31	0.5983734894
32	0.5956736374
33	0.5930822372
34	0.5912210846
35	0.5885706329
36	0.5859237671
37	0.58391819
38	0.5806814575
39	0.5779860306
40	0.5758992004
41	0.5731402588
42	0.5706773758
43	0.5683125305
44	0.5656155396
45	0.563927536
46	0.5616927338
47	0.5595751572
48	0.5578358841
49	0.5560197449
50	0.5520643616
51	0.5501502609
52	0.5479398727
53	0.5453096771
54	0.5428322601
55	0.5405981445
56	0.5380869293
57	0.5356829834
58	0.533603096
59	0.5313535309
60	0.5298888779
61	0.5278752136
62	0.5256673431
63	0.5241149902
64	0.5226700211
65	0.5218106842
66	0.5195180511
67	0.5173321533
68	0.5158666611
69	0.5140377808
70	0.5122036362
71	0.5102224731
72	0.5093389893
73	0.5075376892
74	0.5059087372
75	0.5038985443
76	0.5018782806
77	0.50025177
78	0.4989305115
79	0.4974285126
80	0.4958778
81	0.4938028336
82	0.4920800781
83	0.4905523682
84	0.489019928
85	0.4880197906
86	0.4856645584
87	0.4843958282
88	0.4826668167
89	0.4808528519
90	0.4798003769
91	0.4788231659
92	0.4772636795
93	0.4757588196
94	0.4745349503
95	0.4731481171
96	0.471570282
97	0.4700872803
98	0.4691201782
99	0.4675215149
100	0.4661727142
101	0.4642614746
102	0.4626864243
103	0.4616880417
104	0.4605524826
105	0.4594841003
106	0.457808609
107	0.4562711334
108	0.4545347977
109	0.4533139801
110	0.4520800018
111	0.4507886887
112	0.4483338928
113	0.4474420929
114	0.4459428406
115	0.4443104935
116	0.442244873
117	0.4410789108
118	0.4401296997
119	0.4390733337
120	0.4371607971
121	0.4359501266
